"","Country","Leage","Club","Name","Squad","XAge","Foreigners","MV","XMV"
"1","Argentina","Superliga","Club Atlético River Plate","River Plate",32,27.6,7,"€115.65m","€3.61m"
"2","Argentina","Superliga","Club Atlético Boca Juniors","Boca Juniors",31,26.6,6,"€91.30m","€2.95m"
"3","Argentina","Superliga","Club Atlético San Lorenzo de Almagro","San Lorenzo",32,26.8,4,"€64.40m","€2.01m"
"4","Argentina","Superliga","Racing Club","Racing Club",37,27.8,5,"€63.50m","€1.72m"
"5","Argentina","Superliga","Club Atlético Vélez Sarsfield","Vélez Sarsfield",29,25.3,5,"€61.35m","€2.12m"
"6","Argentina","Superliga","Club Atlético Independiente","Independiente",29,25.9,6,"€46.70m","€1.61m"
"7","Argentina","Superliga","Club Atlético Lanús","Lanús",29,26.5,1,"€40.05m","€1.38m"
"8","Argentina","Superliga","Club Atlético Talleres","CA Talleres",29,25.4,6,"€36.30m","€1.25m"
"9","Argentina","Superliga","Club Atlético Colón","CA Colón",27,26.8,3,"€28.25m","€1.05m"
"10","Argentina","Superliga","Club Deportivo Godoy Cruz Antonio Tomba","Godoy Cruz",33,24.1,6,"€27.85m","€844Th."
"11","Argentina","Superliga","Asociación Atlética Argentinos Juniors","Argentinos Jrs.",28,26.3,3,"€26.80m","€957Th."
"12","Argentina","Superliga","Club Atlético Banfield","CA Banfield",27,26.3,4,"€24.98m","€925Th."
"13","Argentina","Superliga","Club Estudiantes de La Plata","Estudiantes",28,25.7,3,"€23.83m","€851Th."
"14","Argentina","Superliga","Club Atlético Newell's Old Boys","Newell's",27,27.5,2,"€20.88m","€773Th."
"15","Argentina","Superliga","Club Atlético Rosario Central","CA Rosario",24,26.3,3,"€15.03m","€626Th."
"16","Argentina","Superliga","Defensa y Justicia","Defensa",17,26.9,3,"€10.53m","€619Th."
"17","Argentina","Superliga","Club Atlético Tucumán","CA Tucumán",19,29.1,0,"€10.28m","€541Th."
"18","Argentina","Superliga","Club Atlético Huracán","Huracán",19,24.7,3,"€9.98m","€525Th."
"19","Argentina","Superliga","Club de Gimnasia y Esgrima La Plata","Gimnasia",29,26.2,4,"€9.53m","€328Th."
"20","Argentina","Superliga","Club Atlético Unión","CA Unión",22,24.4,3,"€7.78m","€353Th."
"21","Argentina","Superliga","Club Atlético Patronato","CA Patronato",19,27.8,1,"€4.93m","€259Th."
"22","Argentina","Superliga","Club Atlético Aldosivi","Aldosivi",17,25.6,2,"€4.78m","€281Th."
"23","Argentina","Superliga","Club Atlético Central Córdoba (SdE)","Central Córdoba",16,29.3,2,"€4.30m","€269Th."
"24","Argentina","Superliga","Arsenal Fútbol Club","Arsenal FC",12,27.5,1,"€3.13m","€260Th."
"25","Brazil","Campeonato Brasileiro Série A","Clube de Regatas do Flamengo","Flamengo",32,25.8,2,"€120.18m","€3.76m"
"26","Brazil","Campeonato Brasileiro Série A","Sociedade Esportiva Palmeiras","Palmeiras",34,27.4,4,"€106.65m","€3.14m"
"27","Brazil","Campeonato Brasileiro Série A","Grêmio Foot-Ball Porto Alegrense","Grêmio",35,27.3,2,"€97.13m","€2.78m"
"28","Brazil","Campeonato Brasileiro Série A","Sport Club Corinthians Paulista","Corinthians",34,25.4,4,"€60.73m","€1.79m"
"29","Brazil","Campeonato Brasileiro Série A","São Paulo Futebol Clube","São Paulo",36,25.6,4,"€55.85m","€1.55m"
"30","Brazil","Campeonato Brasileiro Série A","Clube Atlético Mineiro","Atlético-MG",33,26.7,8,"€50.70m","€1.54m"
"31","Brazil","Campeonato Brasileiro Série A","Sport Club Internacional","Internacional",35,26.5,7,"€50.50m","€1.44m"
"32","Brazil","Campeonato Brasileiro Série A","Santos FC","Santos FC",35,25.3,5,"€49.80m","€1.42m"
"33","Brazil","Campeonato Brasileiro Série A","Fluminense Football Club","Fluminense",43,25.4,3,"€38.55m","€897Th."
"34","Brazil","Campeonato Brasileiro Série A","Club de Regatas Vasco da Gama","Vasco da Gama",41,24.9,3,"€33.23m","€810Th."
"35","Brazil","Campeonato Brasileiro Série A","Club Athletico Paranaense","Athletico-PR",42,25,4,"€33.13m","€789Th."
"36","Brazil","Campeonato Brasileiro Série A","Esporte Clube Bahia","EC Bahia",34,26.8,0,"€25.08m","€738Th."
"37","Brazil","Campeonato Brasileiro Série A","Botafogo Rio de Janeiro","Botafogo",35,25.5,7,"€23.03m","€658Th."
"38","Brazil","Campeonato Brasileiro Série A","Red Bull Bragantino","RB Bragantino",28,25.4,2,"€22.03m","€787Th."
"39","Brazil","Campeonato Brasileiro Série A","Goiás Esporte Clube","Goiás EC",29,26.9,5,"€17.75m","€612Th."
"40","Brazil","Campeonato Brasileiro Série A","Coritiba Foot Ball Club","Coritiba FC",33,27,0,"€16.40m","€497Th."
"41","Brazil","Campeonato Brasileiro Série A","Ceará Sporting Club","Ceará SC",35,28.3,1,"€16.30m","€466Th."
"42","Brazil","Campeonato Brasileiro Série A","Sport Club do Recife","Sport Recife",35,26.2,3,"€16.20m","€463Th."
"43","Brazil","Campeonato Brasileiro Série A","Fortaleza Esporte Clube","Fortaleza",29,28.9,2,"€14.33m","€494Th."
"44","Brazil","Campeonato Brasileiro Série A","Atlético Clube Goianiense","Atlético-GO",26,25.9,1,"€10.48m","€403Th."
"45","Canada","Canadian Premier League","Cavalry FC","Cavalry FC",21,25.1,9,"€2.80m","€133Th."
"46","Canada","Canadian Premier League","York9 FC","York9 FC",26,24.3,9,"€2.73m","€105Th."
"47","Canada","Canadian Premier League","Valour FC","Valour FC",20,25.9,7,"€2.58m","€129Th."
"48","Canada","Canadian Premier League","Forge FC","Forge FC",20,25.6,4,"€2.55m","€128Th."
"49","Canada","Canadian Premier League","Pacific FC","Pacific FC",19,23.9,3,"€2.45m","€129Th."
"50","Canada","Canadian Premier League","FC Edmonton","FC Edmonton",22,24.7,8,"€2.25m","€102Th."
"51","Canada","Canadian Premier League","HFX Wanderers FC","HFX Wanderers",20,24.3,10,"€1.70m","€85Th."
"52","Canada","Canadian Premier League","Atlético Ottawa","Atl. Ottawa",16,24.2,6,"€1.28m","€80Th."
"53","Chile","Primera División de Chile","CSD Colo Colo","Colo Colo",30,27.3,6,"€14.50m","€483Th."
"54","Chile","Primera División de Chile","CD Universidad Católica","CDUC",33,25.8,6,"€13.20m","€400Th."
"55","Chile","Primera División de Chile","Club Universidad de Chile","U. de Chile",25,26.7,5,"€8.80m","€352Th."
"56","Chile","Primera División de Chile","Unión La Calera","La Calera",29,26.1,8,"€8.55m","€295Th."
"57","Chile","Primera División de Chile","CD Palestino","CD Palestino",27,26.5,7,"€8.40m","€311Th."
"58","Chile","Primera División de Chile","CD O'Higgins","O'Higgins",30,25.1,7,"€7.50m","€250Th."
"59","Chile","Primera División de Chile","Audax Italiano","Audax Italiano",29,24.9,6,"€7.33m","€253Th."
"60","Chile","Primera División de Chile","Unión Española","Española",28,24.3,7,"€6.95m","€248Th."
"61","Chile","Primera División de Chile","Club de Deportes Antofagasta","Antofagasta",28,25.9,5,"€6.90m","€246Th."
"62","Chile","Primera División de Chile","Huachipato FC","Huachipato FC",28,23.4,7,"€6.88m","€246Th."
"63","Chile","Primera División de Chile","CD Everton","CD Everton",24,26,4,"€6.43m","€268Th."
"64","Chile","Primera División de Chile","Club Deportes Iquique","CD Iquique",28,26.9,4,"€6.13m","€219Th."
"65","Chile","Primera División de Chile","CD Cobresal","Cobresal",30,27.3,5,"€6.00m","€200Th."
"66","Chile","Primera División de Chile","CDP Curicó Unido","Curicó",32,26.9,8,"€5.98m","€187Th."
"67","Chile","Primera División de Chile","Coquimbo Unido","Coquimbo Unido",28,27.4,6,"€5.78m","€206Th."
"68","Chile","Primera División de Chile","Santiago Wanderers","Wanderers",29,24.6,7,"€5.30m","€183Th."
"69","Chile","Primera División de Chile","Deportes La Serena","La Serena",28,25.5,6,"€4.83m","€172Th."
"70","Chile","Primera División de Chile","Universidad Concepción","UdeConce",25,27.1,8,"€4.73m","€189Th."
"71","Colombia","Liga DIMAYOR I","Junior FC","Junior FC",27,28.3,2,"€23.33m","€864Th."
"72","Colombia","Liga DIMAYOR I","Deportes Tolima","Deportes Tolima",29,26,2,"€20.65m","€712Th."
"73","Colombia","Liga DIMAYOR I","Atlético Nacional","Atl. Nacional",33,24.8,2,"€19.75m","€598Th."
"74","Colombia","Liga DIMAYOR I","CD América de Cali","CD América",32,25.7,3,"€18.03m","€563Th."
"75","Colombia","Liga DIMAYOR I","Millonarios FC","Millonarios",30,26.3,3,"€16.05m","€535Th."
"76","Colombia","Liga DIMAYOR I","Independiente Medellín","Indep. Medellín",32,25.5,3,"€15.65m","€489Th."
"77","Colombia","Liga DIMAYOR I","Deportivo Cali","Deportivo Cali",27,25.5,2,"€14.58m","€540Th."
"78","Colombia","Liga DIMAYOR I","Independiente Santa Fe","Indep. Santa Fe",31,27.1,7,"€13.68m","€441Th."
"79","Colombia","Liga DIMAYOR I","CD La Equidad Seguros SA","CD La Equidad",35,26.7,4,"€12.88m","€368Th."
"80","Colombia","Liga DIMAYOR I","Asociación Deportivo Pasto","Deportivo Pasto",31,27.5,3,"€11.93m","€385Th."
"81","Colombia","Liga DIMAYOR I","Rionegro Águilas","Rionegro Águila",31,27,3,"€11.18m","€360Th."
"82","Colombia","Liga DIMAYOR I","Once Caldas","Once Caldas",26,26.5,4,"€10.88m","€418Th."
"83","Colombia","Liga DIMAYOR I","Atlético Bucaramanga","A. Bucaramanga",23,26.6,3,"€9.58m","€416Th."
"84","Colombia","Liga DIMAYOR I","Jaguares de Córdoba","Jaguares FC",37,27.4,4,"€8.98m","€243Th."
"85","Colombia","Liga DIMAYOR I","Boyacá Patriotas FC","Patriotas",36,25.6,3,"€8.78m","€244Th."
"86","Colombia","Liga DIMAYOR I","Envigado FC","Envigado",33,25.2,2,"€8.48m","€257Th."
"87","Colombia","Liga DIMAYOR I","Cúcuta Deportivo","Cúcuta Dep.",30,26.3,3,"€7.83m","€261Th."
"88","Colombia","Liga DIMAYOR I","Alianza Petrolera","Alianza Petrol.",27,26.3,4,"€7.53m","€279Th."
"89","Colombia","Liga DIMAYOR I","Boyacá Chicó FC","Boyacá Chicó",36,26.9,1,"€6.58m","€183Th."
"90","Colombia","Liga DIMAYOR I","Deportivo Pereira","Pereira",32,27.1,1,"€6.15m","€192Th."
"91","Ecuador","LigaPro Serie A Primera Etapa","LDU Quito","LDU Quito",28,27.3,8,"€18.13m","€647Th."
"92","Ecuador","LigaPro Serie A Primera Etapa","Barcelona SC Guayaquil","Barcelona SC",30,27.6,8,"€16.10m","€537Th."
"93","Ecuador","LigaPro Serie A Primera Etapa","CS Emelec","CS Emelec",26,27,6,"€13.33m","€513Th."
"94","Ecuador","LigaPro Serie A Primera Etapa","Delfín SC","Delfín SC",26,27.2,5,"€12.53m","€482Th."
"95","Ecuador","LigaPro Serie A Primera Etapa","Independiente del Valle","Independiente",25,26.6,8,"€12.03m","€481Th."
"96","Ecuador","LigaPro Serie A Primera Etapa","SD Aucas","SD Aucas",29,27.2,10,"€11.98m","€413Th."
"97","Ecuador","LigaPro Serie A Primera Etapa","CD Universidad Católica","Uni. Católica",26,26.3,9,"€11.70m","€450Th."
"98","Ecuador","LigaPro Serie A Primera Etapa","CD Macará","CD Macará",25,28,7,"€9.30m","€372Th."
"99","Ecuador","LigaPro Serie A Primera Etapa","Orense SC","Orense",35,27.8,6,"€9.03m","€258Th."
"100","Ecuador","LigaPro Serie A Primera Etapa","Guayaquil City FC","Guayaquil City",25,28.2,9,"€8.75m","€350Th."
"101","Ecuador","LigaPro Serie A Primera Etapa","CD El Nacional","CD El Nacional",29,27.9,0,"€8.28m","€285Th."
"102","Ecuador","LigaPro Serie A Primera Etapa","Mushuc Runa SC","Mushuc Runa SC",30,30.1,8,"€7.55m","€252Th."
"103","Ecuador","LigaPro Serie A Primera Etapa","LDU de Portoviejo","Portoviejo",32,29.6,8,"€7.08m","€221Th."
"104","Ecuador","LigaPro Serie A Primera Etapa","CD Olmedo","CD Olmedo",34,27.9,9,"€7.08m","€208Th."
"105","Ecuador","LigaPro Serie A Primera Etapa","Deportivo Cuenca","Dep. Cuenca",29,25.4,7,"€6.65m","€229Th."
"106","Ecuador","LigaPro Serie A Primera Etapa","Técnico Universitario","Técnico U.",29,29.5,6,"€6.25m","€216Th."
"107","Mexico","Liga MX Clausura","CF Monterrey","Monterrey",25,26.6,12,"€70.00m","€2.80m"
"108","Mexico","Liga MX Clausura","Tigres UANL","Tigres UANL",25,27.5,12,"€59.70m","€2.39m"
"109","Mexico","Liga MX Clausura","CF América","América",24,26.7,13,"€56.15m","€2.34m"
"110","Mexico","Liga MX Clausura","CD Cruz Azul","CD Cruz Azul",25,27.6,10,"€55.30m","€2.21m"
"111","Mexico","Liga MX Clausura","Deportivo Guadalajara","Chivas",28,26.7,0,"€54.13m","€1.93m"
"112","Mexico","Liga MX Clausura","Santos Laguna","Santos Laguna",25,25.3,8,"€48.20m","€1.93m"
"113","Mexico","Liga MX Clausura","Club Tijuana","Club Tijuana",33,24.9,13,"€41.38m","€1.25m"
"114","Mexico","Liga MX Clausura","CF Pachuca","CF Pachuca",31,26.7,14,"€39.30m","€1.27m"
"115","Mexico","Liga MX Clausura","Club León FC","León",24,28.2,11,"€36.85m","€1.54m"
"116","Mexico","Liga MX Clausura","Atlas Guadalajara","Atlas",25,26.3,10,"€32.20m","€1.29m"
"117","Mexico","Liga MX Clausura","FC Juárez","FC Juárez",30,27.5,11,"€26.48m","€883Th."
"118","Mexico","Liga MX Clausura","UNAM Pumas","UNAM Pumas",26,24.9,6,"€26.23m","€1.01m"
"119","Mexico","Liga MX Clausura","Deportivo Toluca","Toluca",32,26.6,13,"€25.60m","€800Th."
"120","Mexico","Liga MX Clausura","Atlético de San Luis","San Luis",20,27.9,10,"€23.03m","€1.15m"
"121","Mexico","Liga MX Clausura","Club Necaxa","Necaxa",25,25,11,"€21.53m","€861Th."
"122","Mexico","Liga MX Clausura","Puebla FC","Puebla FC",30,28.1,12,"€20.08m","€669Th."
"123","Mexico","Liga MX Clausura","Querétaro FC","Querétaro FC",29,27.1,11,"€13.83m","€477Th."
"124","Mexico","Liga MX Clausura","Club Atlético Morelia","Morelia",17,25.3,2,"€4.05m","€238Th."
"125","Paraguay","Primera División Apertura","Club Libertad Asunción","Libertad",29,27.6,7,"€21.75m","€750Th."
"126","Paraguay","Primera División Apertura","Olimpia Asunción","Olimpia",34,28.8,7,"€19.78m","€582Th."
"127","Paraguay","Primera División Apertura","Club Cerro Porteño","Cerro Porteño",30,27.4,7,"€17.68m","€589Th."
"128","Paraguay","Primera División Apertura","Club Guaraní","Guaraní",28,25.5,8,"€14.30m","€511Th."
"129","Paraguay","Primera División Apertura","River Plate Asunción","River Plate",30,28.9,6,"€3.43m","€114Th."
"130","Paraguay","Primera División Apertura","Sportivo Luqueño","Luqueño",32,26.1,9,"€2.75m","€86Th."
"131","Paraguay","Primera División Apertura","Club Sol de América","Sol de América",31,25.8,6,"€2.55m","€82Th."
"132","Paraguay","Primera División Apertura","Club Nacional Asunción","Nacional",35,27.1,3,"€2.53m","€72Th."
"133","Paraguay","Primera División Apertura","Club 12 de Octubre de Itauguá","12 de Octubre",29,29.1,5,"€2.48m","€85Th."
"134","Paraguay","Primera División Apertura","Guaireña FC","Guaireña FC",28,29.2,2,"€2.05m","€73Th."
"135","Paraguay","Primera División Apertura","Club General Díaz de Luque","General Diaz",33,27.2,3,"€1.98m","€60Th."
"136","Paraguay","Primera División Apertura","Club Sportivo San Lorenzo","CS San Lorenzo",25,27.3,3,"€1.00m","€40Th."
"137","Peru","Liga 1 Apertura","FBC Melgar","FBC Melgar",26,26.1,5,"€8.95m","€344Th."
"138","Peru","Liga 1 Apertura","Universitario de Deportes","Universitario",28,25.7,5,"€8.80m","€314Th."
"139","Peru","Liga 1 Apertura","Club Alianza Lima","Alianza Lima",27,27.1,6,"€8.55m","€317Th."
"140","Peru","Liga 1 Apertura","Sporting Cristal Lima","Sport. Cristal",24,24.9,5,"€7.80m","€325Th."
"141","Peru","Liga 1 Apertura","Deportivo Binacional","Binacional",25,27.6,4,"€6.73m","€269Th."
"142","Peru","Liga 1 Apertura","Carlos A. Mannucci","Mannucci",28,27.2,5,"€6.50m","€232Th."
"143","Peru","Liga 1 Apertura","Universidad César Vallejo","César Vallejo",26,26.6,6,"€5.98m","€230Th."
"144","Peru","Liga 1 Apertura","Club Atlético Grau","Atlético Grau",31,25.8,5,"€5.88m","€190Th."
"145","Peru","Liga 1 Apertura","Club Cienciano","Cienciano",29,27.7,6,"€5.55m","€191Th."
"146","Peru","Liga 1 Apertura","Alianza Universidad","Alianza UDH",29,28.7,5,"€5.40m","€186Th."
"147","Peru","Liga 1 Apertura","Deportivo Municipal","Municipal",28,25.4,5,"€5.40m","€193Th."
"148","Peru","Liga 1 Apertura","Universidad San Martín de Porres","USM Porres",27,22.3,4,"€5.38m","€199Th."
"149","Peru","Liga 1 Apertura","Sport Huancayo","Sport Huancayo",27,29.5,7,"€5.20m","€193Th."
"150","Peru","Liga 1 Apertura","Cusco FC","Cusco FC",28,26.9,5,"€4.88m","€174Th."
"151","Peru","Liga 1 Apertura","Ayacucho FC","Ayacucho FC",24,26.9,4,"€4.75m","€198Th."
"152","Peru","Liga 1 Apertura","FC Carlos Stein","FC Carlos Stein",33,27.1,3,"€4.53m","€137Th."
"153","Peru","Liga 1 Apertura","Deportivo Llacuabamba","Llacuabamba",30,27.5,5,"€4.40m","€147Th."
"154","Peru","Liga 1 Apertura","UTC Cajamarca","Club UTC",26,25.4,4,"€4.23m","€163Th."
"155","Peru","Liga 1 Apertura","Academia Deportiva Cantolao","AD Cantolao",27,25.7,5,"€4.05m","€150Th."
"156","Peru","Liga 1 Apertura","Sport Boys Callao","Sport Boys",26,27.4,5,"€4.00m","€154Th."
"157","United States","Major League Soccer","Atlanta United FC","Atlanta United",28,25.7,15,"€51.65m","€1.84m"
"158","United States","Major League Soccer","Los Angeles FC","Los Angeles FC",28,25.3,19,"€50.15m","€1.79m"
"159","United States","Major League Soccer","Inter Miami CF","Inter Miami CF",30,26.1,15,"€37.65m","€1.26m"
"160","United States","Major League Soccer","Los Angeles Galaxy","LA Galaxy",26,25.5,14,"€27.98m","€1.08m"
"161","United States","Major League Soccer","Toronto FC","Toronto FC",30,26,21,"€27.83m","€928Th."
"162","United States","Major League Soccer","New York City FC","NYCFC",26,25.6,15,"€27.63m","€1.06m"
"163","United States","Major League Soccer","Seattle Sounders FC","Sounders FC",25,26.2,11,"€26.63m","€1.07m"
"164","United States","Major League Soccer","Sporting Kansas City","Kansas",27,27,14,"€23.93m","€886Th."
"165","United States","Major League Soccer","Columbus Crew SC","Columbus Crew",26,27.2,17,"€23.88m","€918Th."
"166","United States","Major League Soccer","Portland Timbers","Timbers",28,27.2,19,"€23.30m","€832Th."
"167","United States","Major League Soccer","FC Cincinnati","Cincinnati",26,27.4,11,"€21.40m","€823Th."
"168","United States","Major League Soccer","FC Dallas","FC Dallas",28,25,9,"€21.40m","€764Th."
"169","United States","Major League Soccer","Chicago Fire FC","Chicago Fire",28,25.7,13,"€21.13m","€754Th."
"170","United States","Major League Soccer","D.C. United","D.C. United",25,26.7,14,"€20.90m","€836Th."
"171","United States","Major League Soccer","Montreal Impact","Montreal Impact",29,25.3,17,"€20.15m","€695Th."
"172","United States","Major League Soccer","Orlando City SC","Orlando City SC",28,25.5,16,"€19.73m","€704Th."
"173","United States","Major League Soccer","New England Revolution","Revolution",28,26.4,12,"€19.15m","€684Th."
"174","United States","Major League Soccer","New York Red Bulls","NY Red Bulls",26,24.9,11,"€18.98m","€730Th."
"175","United States","Major League Soccer","Houston Dynamo","Houston",29,26.3,19,"€18.40m","€634Th."
"176","United States","Major League Soccer","Colorado Rapids","Colorado",27,26.2,12,"€17.78m","€658Th."
"177","United States","Major League Soccer","Vancouver Whitecaps FC","Vancouver",28,24.8,15,"€17.50m","€625Th."
"178","United States","Major League Soccer","Minnesota United FC","Minnesota Utd.",25,26.8,16,"€16.45m","€658Th."
"179","United States","Major League Soccer","San Jose Earthquakes","Quakes",30,25.7,14,"€14.70m","€490Th."
"180","United States","Major League Soccer","Philadelphia Union","Philadelphia",25,25.7,14,"€14.03m","€561Th."
"181","United States","Major League Soccer","Real Salt Lake City","Salt Lake",31,26.4,16,"€13.98m","€451Th."
"182","United States","Major League Soccer","Nashville SC","Nashville SC",27,26.9,12,"€13.63m","€505Th."
"183","Uruguay","Primera División Apertura","CA Peñarol","Peñarol",32,26.8,4,"€14.25m","€445Th."
"184","Uruguay","Primera División Apertura","Club Deportivo Maldonado","Maldonado",32,27.5,8,"€11.63m","€363Th."
"185","Uruguay","Primera División Apertura","Club Nacional","Nacional",28,24.3,5,"€11.18m","€399Th."
"186","Uruguay","Primera División Apertura","Atletico River Plate Montevideo","River Plate",30,26,0,"€6.58m","€219Th."
"187","Uruguay","Primera División Apertura","Danubio FC","Danubio FC",29,25.1,3,"€6.45m","€222Th."
"188","Uruguay","Primera División Apertura","Montevideo Wanderers","Wanderers",28,26.8,2,"€5.73m","€204Th."
"189","Uruguay","Primera División Apertura","CA Fénix","CA Fénix",31,25.9,5,"€5.60m","€181Th."
"190","Uruguay","Primera División Apertura","Club Plaza Colonia","Plaza Colonia",26,26.3,5,"€5.33m","€205Th."
"191","Uruguay","Primera División Apertura","Defensor Sporting Club","Defensor",27,26.3,1,"€5.23m","€194Th."
"192","Uruguay","Primera División Apertura","Liverpool FC Montevideo","Liverpool FC",29,24.5,2,"€4.93m","€170Th."
"193","Uruguay","Primera División Apertura","Club Atlético Boston River","Boston River",29,26.8,5,"€4.85m","€167Th."
"194","Uruguay","Primera División Apertura","Cerro Largo FC","Cerro Largo",31,25.1,4,"€4.78m","€154Th."
"195","Uruguay","Primera División Apertura","CA Rentistas","Rentistas",28,25.1,2,"€4.25m","€152Th."
"196","Uruguay","Primera División Apertura","Club Atlético Progreso","Progreso",28,27.3,2,"€4.15m","€148Th."
"197","Uruguay","Primera División Apertura","Club Atlético Torque","CA Torque",29,25.5,6,"€3.78m","€130Th."
"198","Uruguay","Primera División Apertura","Club Atlético Cerro","CA Cerro",31,24.9,2,"€3.13m","€101Th."
"199","Venezuela","Torneo Apertura","Caracas FC","Caracas FC",31,24.1,2,"€7.25m","€234Th."
"200","Venezuela","Torneo Apertura","Atlético Venezuela","Atl. Venezuela",35,24.4,2,"€5.55m","€159Th."
"201","Venezuela","Torneo Apertura","Deportivo Lara","Deportivo Lara",27,26.9,3,"€5.48m","€203Th."
"202","Venezuela","Torneo Apertura","Deportivo La Guaira","Dep. La Guaira",28,24,2,"€5.35m","€191Th."
"203","Venezuela","Torneo Apertura","Estudiantes de Mérida","Estudiantes",26,26.1,5,"€5.25m","€202Th."
"204","Venezuela","Torneo Apertura","Monagas SC","Monagas SC",30,24.1,3,"€4.93m","€164Th."
"205","Venezuela","Torneo Apertura","Metropolitanos FC","Metropolitanos",32,25.6,3,"€4.80m","€150Th."
"206","Venezuela","Torneo Apertura","Deportivo Táchira","Táchira",27,25.5,3,"€4.58m","€169Th."
"207","Venezuela","Torneo Apertura","Aragua FC","Aragua FC",25,26.2,3,"€4.58m","€183Th."
"208","Venezuela","Torneo Apertura","Academia Puerto Cabello","Puerto Cabello",29,26,3,"€4.43m","€153Th."
"209","Venezuela","Torneo Apertura","Mineros de Guayana","Mineros",27,29.3,2,"€4.38m","€162Th."
"210","Venezuela","Torneo Apertura","Zamora FC","Zamora",25,25.6,2,"€4.28m","€171Th."
"211","Venezuela","Torneo Apertura","Carabobo FC","Carabobo FC",27,26.2,1,"€3.70m","€137Th."
"212","Venezuela","Torneo Apertura","Trujillanos FC","Trujillanos",28,25,0,"€3.65m","€130Th."
"213","Venezuela","Torneo Apertura","Zulia FC","Zulia FC",26,25.1,2,"€3.15m","€121Th."
"214","Venezuela","Torneo Apertura","Yaracuyanos Fútbol Club","Yaracuyanos",34,26.5,2,"€2.93m","€86Th."
"215","Venezuela","Torneo Apertura","Portuguesa FC","Portuguesa FC",24,25.7,1,"€2.53m","€105Th."
"216","Venezuela","Torneo Apertura","AC LALA FC","LALA FC",38,26.1,2,"€2.15m","€57Th."
"217","Venezuela","Torneo Apertura","GV Maracay","GV Maracay",31,26.1,1,"€1.80m","€58Th."
